Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Morgan s Raid in Old Washington,Old Washington,Guernsey County,,2002,The Ohio Bicentennial Commission. The Longaberger Company. the village of Old Washington. and the Ohio Historical Society,http://www.hmdb.org/m.asp?m=1036
The Bodies of Three Confederate Cavalrymen,Old Washington,Guernsey County,,1947,Freeman T. Eagleson with the approval and cooperation of the Village Council,http://www.hmdb.org/m.asp?m=1037
Civil War in Allegany County,Cumberland,Allegany County,,,,http://www.hmdb.org/m.asp?m=1049
Gettysburg Campaign,Cumberland,Allegany County,,,,http://www.hmdb.org/m.asp?m=1051
A Diversion,Fredericksburg,Fredericksburg,,,,http://www.hmdb.org/m.asp?m=1064
Marye s Heights,Fredericksburg,Fredericksburg,,,City of Fredericksburg,http://www.hmdb.org/m.asp?m=1066
The Canal Ditch,Fredericksburg,Fredericksburg,,,,http://www.hmdb.org/m.asp?m=1067
The Canal Ditch,Fredericksburg,Fredericksburg,,,City of Fredericksburg,http://www.hmdb.org/m.asp?m=1070
Ambush at Purcellville,Purcellville,Loudoun County,340 N. Maple Ave.,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1072
Shiloh Baptist Church (Old Site),Fredericksburg,Fredericksburg,,,City of Fredericksburg,http://www.hmdb.org/m.asp?m=1081
Sharpsburg (Antietam) Campaign,Reston,Fairfax County,,1935,Conservation and Development Commission,http://www.hmdb.org/m.asp?m=1098
John Wilkes Booth,Port Tobacco,Charles County,,,,http://www.hmdb.org/m.asp?m=1104
1862 Antietam Campaign,Leesburg,Loudoun County,16 Loudoun Street,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1110
Williamsport,Williamsport,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1117
C & O Canal Aqueduct,Williamsport,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1118
Rocky Lane,Fredericksburg,Fredericksburg,205 Caroline Street,,,http://www.hmdb.org/m.asp?m=1130
Fredericksburg City Dock,Fredericksburg,Fredericksburg,101 Sophia Street,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1131
Fredericksburg City Dock,Fredericksburg,Fredericksburg,101 Sophia Street,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1132
Fredericksburg City Dock,Fredericksburg,Fredericksburg,101 Sophia Street,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1133
Edward s Ferry,Poolesville,Montgomery County,,,the Maryland Historical Trust and the Maryland State Highway Administration,http://www.hmdb.org/m.asp?m=1136
Fredericksburg Baptist Church,Fredericksburg,Fredericksburg,1019 Princess Anne St,,City of Fredericksburg,http://www.hmdb.org/m.asp?m=1141
Hostages,Fredericksburg,Fredericksburg,,,City of Fredericksburg,http://www.hmdb.org/m.asp?m=1146
Gen. Robert E. Lee,Hagerstown,Washington County,,,State Roads Commission,http://www.hmdb.org/m.asp?m=1156
Battle of Funkstown,Funkstown,Washington County,,,,http://www.hmdb.org/m.asp?m=1158
Washington Monument,Boonsboro,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=1161
Oatlands,Leesburg,Loudoun County,20850 Oatlands Plantation Lane,,Civil War Trails,http://www.hmdb.org/m.asp?m=1164
Rectortown,Rectortown,Fauquier County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=1173
Mosby s Rangers Disband,Marshall,Fauquier County,,1996,Department of Historic Resources,http://www.hmdb.org/m.asp?m=1174
Norris Tavern / The Warren Green,Warrenton,Fauquier County,,,Fauquier Historical Society,http://www.hmdb.org/m.asp?m=1175
