Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
Struggle to the Heights,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5889
Mountains. Men. and Maneuvers,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5892
<i>The Fate of Harpers Ferry was sealed.,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5894
Battle of Averasboro,Dunn,Harnett County,,,North Carolina Civil War Trails,http://www.hmdb.org/m.asp?m=5895
Sheridan Dug In,Harpers Ferry,Jefferson County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=5896
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5899
7th Regiment Pennsylvania,Sharpsburg,Washington County,,1906,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5900
"""God has indeed remembered us""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5902
"""The Battle Opened""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5903
4th Regiment Pennsylvania Reserve Volunteer Corps,Sharpsburg,Washington County,,,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5904
1st Corps. 3rd Division. 2nd Brigade Bivouac,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5905
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5910
3rd Regt. Pennsylvania,Sharpsburg,Washington County,,1906,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5912
Meades Division. First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5913
Message of Peace,Appomattox,Appomattox County,,,Appomattox Court House National Historical Park. National Park Service. Dept. of the Interior,http://www.hmdb.org/m.asp?m=5914
Meades Division. First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5915
Penn Common,York,York County,,1979,,http://www.hmdb.org/m.asp?m=5917
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5918
8th Regt. Pennsylvania Reserver Volunteer Corps,Sharpsburg,Washington County,,1906,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5919
Gettysburg Campaign,Myersville,Frederick County,,,,http://www.hmdb.org/m.asp?m=5922
1862 Antietam Campaign,Myersville,Frederick County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=5923
Soldiers and Sailors of the Late War of the Rebellion,York,York County,,1898,,http://www.hmdb.org/m.asp?m=5924
Gettysburg Campaign,Conococheague,Washington County,,,,http://www.hmdb.org/m.asp?m=5925
Bailey s Crossroads Civil War Engagements,Baileys Crossroads,Fairfax County,5885 Leesburg Pike,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=5926
Major James Breathed,Hancock,Washington County,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=5932
Ricketts  Division. First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5934
Cliffton,Newburg,Charles County,,,,http://www.hmdb.org/m.asp?m=5938
Beaufort County South Carolina,Beaufort,Beaufort County,,2007,Beaufort County,http://www.hmdb.org/m.asp?m=5941
"Capture of the USS ""Water Witch""",Savannah,Chatham County,,1957,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5945
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5947
Battle of Smyrna,Smyrna,Cobb County,,1954,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5951
John Jones 2nd Burial Site,Port Edwards,Wood County,,,Domtar Industries Inc.,http://www.hmdb.org/m.asp?m=5954
Lee s Last Headquarters,Appomattox,Appomattox County,,,Appomattox Court House National Historic Park. National Park Service,http://www.hmdb.org/m.asp?m=5960
Williams Division. Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5961
McLean House,Appomattox,Appomattox County,111 National Park Dr,,Appomattox Court House National Historic Park. National Park Service,http://www.hmdb.org/m.asp?m=5962
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5964
The Surrender Ceremony,Appomattox,Appomattox County,308 George Peers Dr,,Appomattox Court House National Historic Park. National Park Service,http://www.hmdb.org/m.asp?m=5965
Lee and Grant Meet,Appomattox,Appomattox County,409 George Peers Dr,,Appomattox Court House National Historical Park. National Park Service. Dept. of the Interior,http://www.hmdb.org/m.asp?m=5966
Salute of Arms,Appomattox,Appomattox County,413 George Peers Dr,,Appomattox Court House National Historical Park. National Park Service. Dept. of the Interior,http://www.hmdb.org/m.asp?m=5968
12th Pennsylvania Cavalry,Sharpsburg,Washington County,,1904,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=5969
Final Combat,Appomattox,Appomattox County,330 George Peers Dr,,Appomattox Court House National Historic Park. National Park Service,http://www.hmdb.org/m.asp?m=5970
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5971
North Carolina,Appomattox,Appomattox County,,,,http://www.hmdb.org/m.asp?m=5972
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5973
Comer House,Savannah,Chatham County,,1956,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=5983
Wartime Landscape,Appomattox,Appomattox County,,,Appomattox Court House National Historical Park. National Park Service,http://www.hmdb.org/m.asp?m=5984
Appomattox Court House Confederate Cemetery,Appomattox,Appomattox County,,1950,Virginia Conservation Commission,http://www.hmdb.org/m.asp?m=5987
Clover Hill Tavern,Appomattox,Appomattox County,111 National Park Dr,,Appomattox Court House National Historical Park. National Park Service,http://www.hmdb.org/m.asp?m=5989
Confederate Cemetery,Appomattox,Appomattox County,,,Appomattox Court House National Historical Park. National Park Service,http://www.hmdb.org/m.asp?m=5990
The Surrender Interview Site,Vicksburg National Military Park,Warren County,,,,http://www.hmdb.org/m.asp?m=5991
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5992
Greenes Division. Twelfth Army Corps.,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5993
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=5995
Mansfield,Sharpsburg,Washington County,,1900,State of Connecticut,http://www.hmdb.org/m.asp?m=5997
Major General Joseph K. F. Mansfield,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=5998
Slocums Division. Sixth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6001
Lawton Memorial,Savannah,Chatham County,14 West Anderson,2001,The Georgia Historical Society and St. Paul s Greek Orthodox Church,http://www.hmdb.org/m.asp?m=6002
After the Surrender,Appomattox,Appomattox County,,,Appomattox Court House National Historical Park. National Park Service,http://www.hmdb.org/m.asp?m=6004
Appomattox,Appomattox,Appomattox County,,1926,Appomattox Chapter. U.D.C.,http://www.hmdb.org/m.asp?m=6005
Appomattox River,Appomattox,Appomattox County,,,National Park Service,http://www.hmdb.org/m.asp?m=6006
Battle of the Wilderness,Locust Grove,Orange County,,1927,13. Virginia Regiment. Chapter U.D.C.,http://www.hmdb.org/m.asp?m=6007
A Wild. Wicked Roar,Locust Grove,Orange County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6008
Civil War · Spanish War · World War Memorial,Keyport,Monmouth County,109 Broad Street,,Keyport. New Jersey,http://www.hmdb.org/m.asp?m=6010
First Blood in Saunders Field,Locust Grove,Orange County,,,Fredericksburg and Spotsylvania Natioanl Military Park,http://www.hmdb.org/m.asp?m=6022
Sixth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6023
Grant s Headquarters,Locust Grove,Orange County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6024
First New Jersey Brigade,Sharpsburg,Washington County,,1903,,http://www.hmdb.org/m.asp?m=6025
An Uneasy Partnership,Locust Grove,Orange County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6026
Smiths Division. Sixth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6027
Lee to the rear!,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6029
Battery F. 5th U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6030
Battery I. 1st U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6031
Batteries A and C 4th U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6032
Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6033
Battery D. 2d U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6034
Battery A,Sharpsburg,Washington County,,1900,State of Maryland,http://www.hmdb.org/m.asp?m=6035
Hexamers (New Jersey) Battery,Sharpsburg,Washington County,,1903,,http://www.hmdb.org/m.asp?m=6036
The Higgerson Farm,Locust Grove,Orange County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6038
The Battle of Sutherland,Sutherland,Dinwiddie County,,1981,,http://www.hmdb.org/m.asp?m=6046
140th New York State Vols.,Locust Grove,Orange County,,,,http://www.hmdb.org/m.asp?m=6047
Sutherland Station,Sutherland,Dinwiddie County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=6048
Namozine Church,Mannboro,Amelia County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=6049
Sedgwicks Division. Second Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6050
Lee s Rear Guard,Vera,Appomattox County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=6051
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6052
Massachusetts State Monument,Sharpsburg,Washington County,,1920,Commonwealth of Massachusetts,http://www.hmdb.org/m.asp?m=6053
Indiana State Monument,Sharpsburg,Washington County,,1910,State of Indiana,http://www.hmdb.org/m.asp?m=6054
New Jersey State Monument,Sharpsburg,Washington County,,1905,State of New Jersey,http://www.hmdb.org/m.asp?m=6055
Widow Tapp s Field,Spotsylvania,Spotsylvania County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6057
Crisis in Tapp Field,Lake Wilderness,Spotsylvania County,13213 Wilderness Park Dr,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6058
13th New Jersey Infantry,Sharpsburg,Washington County,,1903,State of New Jersey,http://www.hmdb.org/m.asp?m=6060
13th New Jersey Infantry,Sharpsburg,Washington County,,1903,State of New Jersey,http://www.hmdb.org/m.asp?m=6061
James S. Wadsworth,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6062
The 19th Indiana Infantry,Sharpsburg,Washington County,,1910,State of Indiana,http://www.hmdb.org/m.asp?m=6063
Here Fell General Alexander Hays,Spotsylvania,Spotsylvania County,,,General Alexander Hays Post No. 3 Department of Pennsylvania G.A.R. and Davis Star Camp. Sons of Veterans.,http://www.hmdb.org/m.asp?m=6064
The 7th Indiana Infantry,Sharpsburg,Washington County,,1910,State of Indiana,http://www.hmdb.org/m.asp?m=6065
Texas,Bentonville,Johnston County,,1964,State of Texas,http://www.hmdb.org/m.asp?m=6066
North Carolina Monument,Bentonville,Johnston County,,1992,United Daughters of the Confederacy – Harper House. Bentonville Chapter,http://www.hmdb.org/m.asp?m=6067
Namozine Church,Mannboro,Amelia County,,,Virginias Retreat,http://www.hmdb.org/m.asp?m=6071
Lees Rear Guard,Vera,Appomattox County,,,Virginias Retreat,http://www.hmdb.org/m.asp?m=6073
Sutherland Station,Sutherland,Dinwiddie County,,,Virginias Retreat,http://www.hmdb.org/m.asp?m=6074
Battle of Appomattox Station,Appomattox,Appomattox County,,,Virginias Retreat,http://www.hmdb.org/m.asp?m=6075
Crewe,Crewe,Nottoway County,,,Virginias Retreat,http://www.hmdb.org/m.asp?m=6076
Collision of Giants,Locust Grove,Orange County,,,,http://www.hmdb.org/m.asp?m=6077
Pamplin Historical Park & The National Museum of the Civil War Soldier,Petersburg,Dinwiddie County,,,Virginias Retreat,http://www.hmdb.org/m.asp?m=6080
Rum Point,Marbury,Charles County,,,Charles County Civil War Centennial Commission,http://www.hmdb.org/m.asp?m=6082
In The Nick of Time,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6086
Battery C. 5th U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6087
The Texans Attack,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6088
Confederate Earthworks,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6089
The Widow Tapp House,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6090
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6091
Lee-to-the-Rear,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6093
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6100
Battery B. 4th U.S. Artillery,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6105
Doubledays Division. First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6108
Col. James D. Nance,Spotsylvania,Spotsylvania County,,,,http://www.hmdb.org/m.asp?m=6112
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6113
Ellwood,Locust Grove,Orange County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6121
Union Headquarters,Locust Grove,Orange County,,,National Park Service. U.S. Department of the Interior,http://www.hmdb.org/m.asp?m=6123
Doubledays Division. First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6127
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6131
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6132
124th Pennsylvania Volunteer Infantry,Sharpsburg,Washington County,,1904,Commonwealth of Pennsylvania,http://www.hmdb.org/m.asp?m=6134
Georgia Historical Society,Savannah,Chatham County,,1953,Georgia Historical Commission,http://www.hmdb.org/m.asp?m=6139
Major Gen. John F. Reynolds,Gettysburg,Adams County,,1886,State of Pennsylvania,http://www.hmdb.org/m.asp?m=6146
Jacksons Division. Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6150
Baltimore Riot Trail,Inner Harbor,Baltimore,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=6151
Jacksons Division. Jacksons Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6152
USS Constellation,Inner Harbor,Baltimore,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=6153
Appomattox Campaign (Sutherland Station),Sutherland,Dinwiddie County,,2000,Department of Historic Resources,http://www.hmdb.org/m.asp?m=6155
Lee s Retreat,Mannboro,Amelia County,,1935,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=6156
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6162
The Georgia Hussars,Savannah,Chatham County,,1968,Factors Walk Military Commission,http://www.hmdb.org/m.asp?m=6163
Twelfth Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6167
First Army Corps,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6169
Confederate Stronghold,Gettysburg,Adams County,401 Baltimore Street,,Main Street Gettysburg. Inc.,http://www.hmdb.org/m.asp?m=6174
Lees Brigade. Stuarts Cavalry Division,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6175
A Union General Escapes Capture,Gettysburg,Adams County,323 Baltimore Street,,Main Street Gettysburg. Inc.,http://www.hmdb.org/m.asp?m=6176
Hamptons Brigade. Stuarts Cavalry Division,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6177
Stuarts Cavalry Division,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6178
Longstreets Command,Sharpsburg,Washington County,,,Antietam Battlefield Board,http://www.hmdb.org/m.asp?m=6180
"""A House Was Burning""",Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=6184
General Robert E. Lee,Yemassee,Jasper County,,1991,Point South Merchants Association,http://www.hmdb.org/m.asp?m=6195
Baltimore Riot Trail,Baltimore,Baltimore,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=6208
Baltimore Riot Trail,Inner Harbor,Baltimore,,,Maryland Civil War Trails,http://www.hmdb.org/m.asp?m=6209
Grahamville,Ridgeland,Jasper County,,2000,The Jasper County Historical Society,http://www.hmdb.org/m.asp?m=6210
A Thrilling Spectacle,Sharpsburg,Washington County,,,,http://www.hmdb.org/m.asp?m=6212
